source,abs. flux (0.3-10 keV),period(s),pdot(1e-11s/s),distance(kpc),l(deg),b(deg),luminosity_bol_qui(e33erg/s),class
1E1048.1-5937,5.56E-12,6.46,2.18,9,288.26,-0.52,89,Magnetar
SGRJ1745-2900,2E-14,3.76,3.06,8.3,359.94,-0.05,10,Magnetar
SGRJ1935+2154,3.434E-14,3.24,1.43,9,57.25,0.82,4,Magnetar
1E1841-045,3.434E-14,11.79,4.09,8.5,27.39,-0.01,460,Magnetar
SGR1900+14,3.434E-14,5.2,9.2,12.5,43.02,0.77,140,Magnetar
4U0142+614,3.434E-14,8.69,0.2,3.6,129.38,-0.43,380,Magnetar
1RXSJ170849.0-4009,3.434E-14,11.01,1.95,3.8,346.48,0.04,100,Magnetar
CXOUJ010043.1-721,3.434E-14,8.02,1.88,62.4,301.93,-44.92,224,Magnetar
CXOUJ171405.7-3810,3.434E-14,3.83,6.4,13.2,348.68,0.37,112,Magnetar
SGR0526-66,3.434E-14,8.05,3.8,49.7,276.09,-33.25,398,Magnetar
PSRJ1119-6127,4.8E-14,0.407,0.4,8.4,292.151295,-0.536942,0.198002,Magnetar
PSRJ1846-0258,1.6489E-11,0.33,0.71,6,29.711946,-0.240114,20,Magnetar
PSRJ1622-4950,1.7128E-13,4.3261,1.7,9,333.849035,-0.101993,0.44,Magnetar
SwiftJ1818.0-1607,9.4537E-14,1.36,5,4.8,14.81535,-0.138088,6.5,Magnetar
3XMMJ1852+0033,4.4648E-13,11.55871346,0.014,7.1,33.578554,-0.045068,0.006,Magnetar
PSRJ0726-2612,5.3199E-13,3.44,0.03,1,240.079247,-4.644334,0.224463,RPP
PSRJ1819-1458,1.7354E-13,4.263,0.057,3.6,16.019002,0.080346,4.90753,RPP
PSRJ1718-3718,7.9268E-15,3.378,0.16,4.5,349.848963,0.215121,0.491632,RPP
1RXSJ1412+7922,8.4898E-13,0.059,0.000319,0.3,,,0.0138213,RPP
PSRJ0538+2817,8.484E-13,0.143,0.00037,1.3,179.718198,-1.685636,0.372123,RPP
PSRB1055-52,6.8913E-13,0.197,0.00058,0.35,285.984341,6.649336,0.0785942,RPP
PSRJ0633+1746,4.2442E-12,0.237,0.0011,0.19,195.133837,4.265811,0.0445239,RPP
PSRB1706-44,1.1166E-12,0.102,0.0093,2.6,343.098214,-2.685113,,RPP
PSRB0833-45,6.7112E-11,0.089,0.012,0.28,263.551962,-2.787257,0.4,RPP
PSRB0656+14,8.4625E-12,0.385,0.0055,0.28,201.10766,8.258282,0.026455,RPP
PSRB2334+61,2.1394E-14,0.495,0.019,3.1,114.28389,0.233355,0.0781036,RPP
PSRJ1740+1000,1.668E-13,0.154,0.00215,1.4,34.01052,20.268413,0.180756,RPP
PSRJ0205+6449,1.4777E-12,0.0657,0.0193,3.2,,,0.351391,RPP
PSRJ0357+3205,4.9488E-14,0.444,0.0013,0.45,,,,RPP
PSRJ0633+0632,8.2205E-14,0.297,0.00795,0.9,,,,RPP
PSRJ1357-6429,1.1389E-13,0.166,0.036,2.5,,,0.150759,RPP
PSRJ1741-2054,6.0104E-13,0.414,0.00169,0.8,,,0.307406,RPP
PSRB1822-08,4.071E-14,0.769,0.0052,0.3,,,0.00236906,RPP
PSRB1823-13,3.8327E-13,0.101,0.0075,3.6,,,,RPP
PSRJ1836+5925,5.0617E-14,0.173,0.00015,0.3,,,0.00394557,RPP
PSRB1951+32,6.3227E-12,0.0395,0.000584,2.4,,,,RPP
PSRJ1957+5033,4.686E-14,0.375,0.0007,1.3,,,0.00181629,RPP
PSRJ2021+3651,7.7786E-13,0.104,0.0095,1.8,,,,RPP
PSRB1509-58,2.9758E-11,0.08892,0.000915,5.2,,,,RPP
PSRJ0554+3107,4.8428E-14,0.465,0.01426,,,,1.95625,RPP
RXJ0420.0-5022,5.01E-13,3.45,0.002759,0.34,258.134978,-44.385597,0.014,XDINS
RXJ1856.5-3754,2.00E-11,7.055,0.003,0.12,358.599611,-17.21311,0.047,XDINS
RXJ2143.0+0654,2.51E-12,9.428,0.0041,0.43,62.657328,-33.139952,0.1,XDINS
RXJ0720.4-3125,1.00E-11,8.391,0.006983,0.29,244.15805,-8.164527,0.2,XDINS
RXJ0806.4-4123,2.51E-12,11.37,0.0055,0.25,257.426088,-4.984389,0.03,XDINS
RXJ1308.6+2127,3.16E-12,10.31,0.011,0.5,338.745669,83.081296,0.02,XDINS
RXJ1605.3+3249,7.94E-12,3.39,0.16,0.35,52.875945,47.990468,1.99,XDINS
